pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-172 b,Kepler-172,2014.0,2.35,2.940309,0.04,5526.0,0
Kepler-172 c,Kepler-172,2014.0,2.86,6.388996,0.068,5526.0,0
Kepler-172 d,Kepler-172,2014.0,2.25,14.627119,0.118,5526.0,0
Kepler-172 e,Kepler-172,2014.0,2.76,35.118736,0.211,5526.0,0
Kepler-173 b,Kepler-173,2014.0,1.29,4.263742,0.048,6031.0,0
Kepler-173 c,Kepler-173,2014.0,2.43,8.005777,0.074,6031.0,0
Kepler-174 b,Kepler-174,2014.0,1.96,13.98179,0.1,4880.0,0
Kepler-174 c,Kepler-174,2014.0,1.49,44.000529,0.214,4880.0,0
Kepler-174 d,Kepler-174,2014.0,2.19,247.35373,0.677,4880.0,0
Kepler-175 b,Kepler-175,2014.0,2.56,11.903515,0.105,6064.0,0
Kepler-175 c,Kepler-175,2014.0,3.1,34.035257,0.213,6064.0,0
Kepler-176 b,Kepler-176,2014.0,1.43,5.433074,0.058,5232.0,0
Kepler-176 c,Kepler-176,2014.0,2.6,12.759712,0.102,5232.0,0
Kepler-176 d,Kepler-176,2014.0,2.51,25.751974,0.163,5232.0,0
Kepler-178 b,Kepler-178,2014.0,2.9,9.576694,0.085,5676.0,0
Kepler-178 c,Kepler-178,2014.0,2.88,20.552802,0.142,5676.0,0
Kepler-178 d,Kepler-178,2014.0,3.95,96.678988,0.397,5676.0,0
Kepler-179 b,Kepler-179,2014.0,1.64,2.735926,0.036,5302.0,0
Kepler-179 c,Kepler-179,2014.0,2.0,6.40013,0.064,5302.0,0
Kepler-18 b,Kepler-18,2011.0,2.0,3.504725,0.0447,5345.0,0
Kepler-18 c,Kepler-18,2011.0,5.49,7.64159,0.0752,5345.0,0
Kepler-18 d,Kepler-18,2011.0,6.98,14.85888,0.1172,5345.0,0
Kepler-180 b,Kepler-180,2014.0,1.5,13.817124,0.109,5731.0,0
Kepler-180 c,Kepler-180,2014.0,3.01,41.885775,0.229,5731.0,0
Kepler-1801 c,Kepler-1801,2023.0,2.91,116.583183,0.4572,5738.0,0
Kepler-181 b,Kepler-181,2014.0,1.27,3.137873,0.04,5333.0,0
Kepler-181 c,Kepler-181,2014.0,1.99,4.302149,0.049,5333.0,0
Kepler-1814 c,Kepler-1814,2023.0,1.76,0.626281766,0.0133,4922.0,0
Kepler-182 b,Kepler-182,2014.0,2.58,9.825792,0.096,6250.0,0
Kepler-182 c,Kepler-182,2014.0,3.43,20.684342,0.157,6250.0,0
