pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-247 b,Kepler-247,2014.0,1.64,3.33616,0.042,5100.0,0
Kepler-247 c,Kepler-247,2014.0,4.09,9.439452,0.084,5100.0,0
Kepler-247 d,Kepler-247,2014.0,3.94,20.477912,0.14,5100.0,0
Kepler-248 b,Kepler-248,2014.0,3.02,6.308205,0.066,5190.0,0
Kepler-248 c,Kepler-248,2014.0,4.07,16.239494,0.123,5190.0,0
Kepler-249 b,Kepler-249,2014.0,1.09,3.306539,0.035,3568.0,0
Kepler-249 c,Kepler-249,2014.0,1.51,7.113702,0.058,3568.0,0
Kepler-249 d,Kepler-249,2014.0,1.57,15.368459,0.097,3568.0,0
Kepler-250 b,Kepler-250,2014.0,1.13,4.148141,0.048,5160.0,0
Kepler-250 c,Kepler-250,2014.0,2.28,7.156804,0.069,5160.0,0
Kepler-250 d,Kepler-250,2014.0,2.18,17.648312,0.127,5160.0,0
Kepler-251 b,Kepler-251,2014.0,1.33,4.790936,0.053,5526.0,0
Kepler-251 c,Kepler-251,2014.0,2.77,16.514043,0.122,5526.0,0
Kepler-251 d,Kepler-251,2014.0,2.77,30.133001,0.182,5526.0,0
Kepler-251 e,Kepler-251,2014.0,2.77,99.640161,0.404,5526.0,0
Kepler-252 b,Kepler-252,2014.0,1.23,6.668391,0.058,4208.0,0
Kepler-252 c,Kepler-252,2014.0,2.15,10.848463,0.08,4208.0,0
Kepler-253 b,Kepler-253,2014.0,1.63,3.783986,0.046,5208.0,0
Kepler-253 c,Kepler-253,2014.0,2.65,10.281951,0.089,5208.0,0
Kepler-253 d,Kepler-253,2014.0,3.17,18.119869,0.13,5208.0,0
Kepler-254 b,Kepler-254,2014.0,3.87,5.826662,0.064,5957.0,0
Kepler-254 c,Kepler-254,2014.0,2.15,12.412183,0.105,5957.0,0
Kepler-254 d,Kepler-254,2014.0,2.5,18.746477,0.139,5957.0,0
Kepler-255 b,Kepler-255,2014.0,1.55,5.714606,0.063,5573.0,0
Kepler-255 c,Kepler-255,2014.0,2.99,9.946047,0.092,5573.0,0
Kepler-256 b,Kepler-256,2014.0,1.59,1.620493,0.027,5551.0,0
Kepler-256 c,Kepler-256,2014.0,2.15,3.38802,0.045,5551.0,0
Kepler-256 d,Kepler-256,2014.0,2.48,5.839172,0.064,5551.0,0
Kepler-256 e,Kepler-256,2014.0,2.35,10.681572,0.096,5551.0,0
Kepler-257 b,Kepler-257,2014.0,2.61,2.382667,0.034,5180.0,0
Kepler-257 c,Kepler-257,2014.0,5.41,6.581484,0.066,5180.0,0
Kepler-257 d,Kepler-257,2014.0,4.95,24.664551,0.16,5180.0,0
Kepler-258 b,Kepler-258,2014.0,4.06,13.19722,0.103,4942.0,0
Kepler-258 c,Kepler-258,2014.0,3.61,33.653079,0.193,4942.0,0
Kepler-259 b,Kepler-259,2014.0,2.8,8.115317,0.079,5938.0,0
Kepler-259 c,Kepler-259,2014.0,2.7,36.924931,0.217,5938.0,0
Kepler-26 d,Kepler-26,2014.0,1.07,3.543919,0.039,4486.0,0
Kepler-26 e,Kepler-26,2014.0,2.41,46.827915,0.22,4486.0,0
Kepler-260 b,Kepler-260,2014.0,2.01,8.187399,0.075,5250.0,0
Kepler-260 c,Kepler-260,2014.0,1.74,76.050178,0.332,5250.0,0
Kepler-261 b,Kepler-261,2014.0,2.18,10.381227,0.088,5098.0,0
Kepler-261 c,Kepler-261,2014.0,2.0,24.570858,0.156,5098.0,0
Kepler-262 b,Kepler-262,2014.0,1.36,13.060855,0.108,5841.0,0
Kepler-262 c,Kepler-262,2014.0,1.64,21.853722,0.152,5841.0,0
Kepler-263 b,Kepler-263,2014.0,2.67,16.568087,0.12,5265.0,0
Kepler-263 c,Kepler-263,2014.0,2.47,47.332773,0.242,5265.0,0
Kepler-264 b,Kepler-264,2014.0,3.33,40.806231,0.249,6158.0,0
Kepler-264 c,Kepler-264,2014.0,2.83,140.101261,0.566,6158.0,0
Kepler-265 b,Kepler-265,2014.0,1.86,6.846262,0.069,5835.0,0
Kepler-265 c,Kepler-265,2014.0,2.63,17.028937,0.127,5835.0,0
Kepler-265 d,Kepler-265,2014.0,2.49,43.130617,0.236,5835.0,0
Kepler-265 e,Kepler-265,2014.0,2.59,67.831024,0.319,5835.0,0
Kepler-266 b,Kepler-266,2014.0,2.48,6.61833,0.071,5885.0,0
Kepler-266 c,Kepler-266,2014.0,3.89,107.723601,0.457,5885.0,0
Kepler-267 b,Kepler-267,2014.0,1.98,3.353728,0.037,4258.0,0
Kepler-267 c,Kepler-267,2014.0,2.13,6.87745,0.06,4258.0,0
Kepler-267 d,Kepler-267,2014.0,2.27,28.464515,0.154,4258.0,0
Kepler-268 b,Kepler-268,2014.0,2.55,25.934138,0.18,6081.0,0
Kepler-268 c,Kepler-268,2014.0,3.38,83.446393,0.391,6081.0,0
Kepler-269 b,Kepler-269,2014.0,2.47,5.326718,0.061,5847.0,0
Kepler-269 c,Kepler-269,2014.0,1.69,8.127899,0.081,5847.0,0
Kepler-27 b,Kepler-27,2011.0,4.0,15.3348,0.118,5400.0,0
Kepler-27 c,Kepler-27,2011.0,4.9,31.3309,0.191,5400.0,0
Kepler-270 b,Kepler-270,2014.0,2.01,11.476094,0.107,6067.0,0
Kepler-270 c,Kepler-270,2014.0,1.77,25.262887,0.18,6067.0,0
Kepler-272 b,Kepler-272,2014.0,1.43,2.971353,0.038,5297.0,0
Kepler-272 c,Kepler-272,2014.0,1.79,6.057342,0.061,5297.0,0
Kepler-272 d,Kepler-272,2014.0,2.25,10.937304,0.091,5297.0,0
Kepler-273 b,Kepler-273,2014.0,1.5,2.936532,0.037,5626.0,0
Kepler-273 c,Kepler-273,2014.0,1.98,8.014927,0.073,5626.0,0
Kepler-274 b,Kepler-274,2014.0,1.54,11.634788,0.101,6023.0,0
Kepler-274 c,Kepler-274,2014.0,1.84,33.197861,0.204,6023.0,0
Kepler-275 b,Kepler-275,2014.0,2.34,10.300682,0.098,6165.0,0
Kepler-275 c,Kepler-275,2014.0,3.38,16.088134,0.132,6165.0,0
Kepler-275 d,Kepler-275,2014.0,3.33,35.676062,0.224,6165.0,0
Kepler-276 b,Kepler-276,2014.0,2.87,14.12841,0.119,6105.0,0
Kepler-278 b,Kepler-278,2014.0,3.955,30.1556,0.202,4965.0,0
Kepler-278 c,Kepler-278,2014.0,3.268,51.111,0.287,4965.0,0
Kepler-279 b,Kepler-279,2014.0,3.62,12.309681,0.112,6363.0,0
Kepler-280 b,Kepler-280,2014.0,1.45,2.139542,0.032,5744.0,0
Kepler-280 c,Kepler-280,2014.0,2.01,4.807091,0.056,5744.0,0
Kepler-281 b,Kepler-281,2014.0,2.82,14.646008,0.117,5723.0,0
Kepler-281 c,Kepler-281,2014.0,5.31,36.337373,0.215,5723.0,0
Kepler-282 b,Kepler-282,2014.0,1.01,9.220524,0.082,5602.0,0
Kepler-282 c,Kepler-282,2014.0,1.2,13.638723,0.106,5602.0,0
Kepler-283 b,Kepler-283,2014.0,2.13,11.008151,0.082,4351.0,0
Kepler-283 c,Kepler-283,2014.0,1.82,92.743711,0.341,4351.0,0
Kepler-284 b,Kepler-284,2014.0,2.24,12.699149,0.104,5615.0,0
Kepler-284 c,Kepler-284,2014.0,2.61,37.514456,0.213,5615.0,0
Kepler-285 b,Kepler-285,2014.0,1.34,2.633867,0.036,5411.0,0
Kepler-285 c,Kepler-285,2014.0,1.12,6.186676,0.064,5411.0,0
Kepler-286 b,Kepler-286,2014.0,1.24,1.796302,0.027,5580.0,0
Kepler-286 c,Kepler-286,2014.0,1.37,3.468095,0.042,5580.0,0
Kepler-286 d,Kepler-286,2014.0,1.33,5.914323,0.061,5580.0,0
Kepler-286 e,Kepler-286,2014.0,1.77,29.221289,0.176,5580.0,0
Kepler-287 b,Kepler-287,2014.0,2.33,20.342199,0.145,5806.0,0
Kepler-287 c,Kepler-287,2014.0,3.26,44.851896,0.246,5806.0,0
Kepler-288 b,Kepler-288,2014.0,1.67,6.097326,0.065,5918.0,0
Kepler-288 c,Kepler-288,2014.0,2.85,19.305772,0.14,5918.0,0
Kepler-288 d,Kepler-288,2014.0,2.67,56.633742,0.287,5918.0,0
Kepler-290 b,Kepler-290,2014.0,2.25,14.589347,0.11,5147.0,0
Kepler-290 c,Kepler-290,2014.0,2.7,36.77031,0.205,5147.0,0
Kepler-290 d,Kepler-290,2023.0,0.86,0.764017553,0.0154,5142.0,0
Kepler-291 b,Kepler-291,2014.0,2.16,3.546511,0.047,6002.0,0
Kepler-291 c,Kepler-291,2014.0,1.88,5.700786,0.065,6002.0,0
Kepler-292 b,Kepler-292,2014.0,1.32,2.580827,0.035,5299.0,0
Kepler-292 c,Kepler-292,2014.0,1.47,3.715335,0.045,5299.0,0
Kepler-292 d,Kepler-292,2014.0,2.23,7.055679,0.068,5299.0,0
Kepler-292 e,Kepler-292,2014.0,2.67,11.97901,0.097,5299.0,0
Kepler-292 f,Kepler-292,2014.0,2.35,20.834237,0.141,5299.0,0
Kepler-293 b,Kepler-293,2014.0,3.07,19.254196,0.144,5804.0,0
Kepler-293 c,Kepler-293,2014.0,3.83,54.155743,0.286,5804.0,0
Kepler-294 b,Kepler-294,2014.0,1.77,3.701212,0.048,5913.0,0
Kepler-294 c,Kepler-294,2014.0,2.71,6.6264,0.071,5913.0,0
Kepler-295 b,Kepler-295,2014.0,1.22,12.645164,0.099,5603.0,0
Kepler-295 c,Kepler-295,2014.0,1.17,21.526258,0.142,5603.0,0
Kepler-295 d,Kepler-295,2014.0,1.36,33.884054,0.192,5603.0,0
Kepler-296 b,Kepler-296,2014.0,1.61,10.864384,0.079,3740.0,0
Kepler-296 c,Kepler-296,2014.0,2.0,5.8416366,0.0521,3740.0,0
Kepler-296 d,Kepler-296,2014.0,2.09,19.850291,0.118,3740.0,0
Kepler-296 e,Kepler-296,2014.0,1.53,34.14211,0.169,3740.0,0
Kepler-296 f,Kepler-296,2014.0,1.8,63.33627,0.255,3740.0,0
Kepler-297 b,Kepler-297,2014.0,2.87,38.871826,0.217,5619.0,0
Kepler-297 c,Kepler-297,2014.0,6.54,74.920137,0.336,5619.0,0
Kepler-297 d,Kepler-297,2023.0,32.6,150.0189511,0.523,5618.0,0
Kepler-298 b,Kepler-298,2014.0,1.96,10.475464,0.08,4465.0,0
Kepler-298 c,Kepler-298,2014.0,1.93,22.92881,0.136,4465.0,0
Kepler-298 d,Kepler-298,2014.0,2.5,77.473633,0.305,4465.0,0
Kepler-299 b,Kepler-299,2014.0,1.32,2.927128,0.04,5617.0,0
Kepler-299 c,Kepler-299,2014.0,2.65,6.885875,0.07,5617.0,0
Kepler-299 d,Kepler-299,2014.0,1.86,15.054786,0.118,5617.0,0
Kepler-299 e,Kepler-299,2014.0,1.87,38.285489,0.22,5617.0,0
Kepler-30 b,Kepler-30,2012.0,3.9,29.33434,0.18,5498.0,0
Kepler-30 c,Kepler-30,2012.0,12.3,60.323105,0.3,5498.0,0
Kepler-30 d,Kepler-30,2012.0,8.8,143.34394,0.5,5498.0,0
Kepler-300 b,Kepler-300,2014.0,1.67,10.446347,0.094,5986.0,0
Kepler-300 c,Kepler-300,2014.0,2.25,40.714955,0.232,5986.0,0
Kepler-301 b,Kepler-301,2014.0,1.35,2.508553,0.036,5815.0,0
Kepler-301 c,Kepler-301,2014.0,1.35,5.419026,0.06,5815.0,0
Kepler-301 d,Kepler-301,2014.0,1.75,13.751243,0.112,5815.0,0
Kepler-302 b,Kepler-302,2014.0,4.06,30.184104,0.193,5740.0,0
Kepler-302 c,Kepler-302,2014.0,12.45,127.282184,0.503,5740.0,0
Kepler-303 b,Kepler-303,2014.0,0.89,1.937055,0.024,3944.0,0
Kepler-303 c,Kepler-303,2014.0,1.14,7.061149,0.057,3944.0,0
Kepler-304 b,Kepler-304,2014.0,2.86,3.295709,0.039,4731.0,0
Kepler-304 c,Kepler-304,2014.0,2.17,5.315946,0.054,4731.0,0
Kepler-304 d,Kepler-304,2014.0,2.75,9.653471,0.08,4731.0,0
Kepler-306 b,Kepler-306,2014.0,1.52,4.646186,0.05,4954.0,0
Kepler-306 c,Kepler-306,2014.0,2.35,7.240193,0.067,4954.0,0
Kepler-306 d,Kepler-306,2014.0,2.47,17.326644,0.12,4954.0,0
Kepler-306 e,Kepler-306,2014.0,2.27,44.840975,0.227,4954.0,0
Kepler-308 b,Kepler-308,2014.0,2.12,9.694928,0.09,5895.0,0
Kepler-308 c,Kepler-308,2014.0,2.16,15.38231,0.123,5895.0,0
Kepler-309 b,Kepler-309,2014.0,1.56,5.923653,0.059,4713.0,0
Kepler-309 c,Kepler-309,2014.0,2.51,105.356383,0.401,4713.0,0
Kepler-31 b,Kepler-31,2011.0,5.5,20.8613,0.16,6340.0,0
Kepler-31 c,Kepler-31,2011.0,5.3,42.6318,0.26,6340.0,0
Kepler-31 d,Kepler-31,2014.0,3.9,87.6451,0.4,6340.0,0
Kepler-310 b,Kepler-310,2014.0,1.19,13.930698,0.111,5797.0,0
Kepler-310 c,Kepler-310,2014.0,3.38,56.47542,0.281,5797.0,0
Kepler-310 d,Kepler-310,2014.0,2.47,92.876125,0.392,5797.0,0
Kepler-311 b,Kepler-311,2014.0,1.7,9.176092,0.087,5905.0,0
Kepler-311 c,Kepler-311,2014.0,1.43,19.738286,0.145,5905.0,0
Kepler-311 d,Kepler-311,2023.0,2.05,232.040326,0.7326,5903.0,0
Kepler-312 b,Kepler-312,2014.0,1.29,1.772419,0.031,6115.0,0
Kepler-312 c,Kepler-312,2014.0,3.15,19.747412,0.153,6115.0,0
Kepler-313 b,Kepler-313,2014.0,2.53,14.970418,0.125,5727.0,0
Kepler-313 c,Kepler-313,2014.0,2.57,32.273273,0.208,5727.0,0
Kepler-314 b,Kepler-314,2014.0,0.83,2.461069,0.035,5378.0,0
Kepler-314 c,Kepler-314,2014.0,2.9,5.960392,0.064,5378.0,0
Kepler-315 b,Kepler-315,2014.0,3.77,96.101141,0.402,5796.0,0
Kepler-315 c,Kepler-315,2014.0,4.15,265.469335,0.791,5796.0,0
Kepler-316 b,Kepler-316,2014.0,1.06,2.240508,0.027,4204.0,0
Kepler-316 c,Kepler-316,2014.0,1.16,6.827766,0.058,4204.0,0
Kepler-317 b,Kepler-317,2014.0,2.09,5.524242,0.061,5497.0,0
Kepler-317 c,Kepler-317,2014.0,1.72,8.77501,0.083,5497.0,0
Kepler-318 b,Kepler-318,2014.0,4.71,4.662715,0.056,5746.0,0
Kepler-318 c,Kepler-318,2014.0,3.68,11.815007,0.105,5746.0,0
Kepler-319 b,Kepler-319,2014.0,1.63,4.362705,0.051,5526.0,0
Kepler-319 c,Kepler-319,2014.0,2.63,6.941357,0.069,5526.0,0
Kepler-319 d,Kepler-319,2014.0,2.29,31.781925,0.191,5526.0,0
Kepler-32 b,Kepler-32,2011.0,2.2,5.90124,0.05,3900.0,0
Kepler-32 c,Kepler-32,2011.0,2.0,8.7522,0.09,3900.0,0
Kepler-32 d,Kepler-32,2012.0,2.7,22.7802,0.13,3900.0,0
Kepler-32 e,Kepler-32,2012.0,1.5,2.896,0.033,3900.0,0
Kepler-32 f,Kepler-32,2012.0,0.82,0.74296,0.013,3900.0,0
Kepler-320 b,Kepler-320,2014.0,1.14,8.371554,0.085,6435.0,0
Kepler-320 c,Kepler-320,2014.0,1.37,17.934937,0.142,6435.0,0
Kepler-321 b,Kepler-321,2014.0,1.77,4.915379,0.057,5740.0,0
Kepler-321 c,Kepler-321,2014.0,2.32,13.093921,0.11,5740.0,0
Kepler-322 b,Kepler-322,2014.0,1.01,1.653888,0.027,5388.0,0
Kepler-322 c,Kepler-322,2014.0,1.67,4.337234,0.051,5388.0,0
Kepler-323 b,Kepler-323,2014.0,1.381,1.678328,0.02778,6004.0,0
Kepler-323 c,Kepler-323,2014.0,1.57,3.5538229,0.0458,6004.0,0
Kepler-324 b,Kepler-324,2014.0,1.14,4.385315,0.05,5194.0,0
Kepler-324 c,Kepler-324,2014.0,3.15,51.805612,0.26,5194.0,0
Kepler-325 b,Kepler-325,2014.0,2.91,4.544439,0.053,5752.0,0
Kepler-325 c,Kepler-325,2014.0,2.54,12.762172,0.105,5752.0,0
Kepler-325 d,Kepler-325,2014.0,2.79,38.715185,0.22,5752.0,0
Kepler-326 b,Kepler-326,2014.0,1.52,2.248329,0.032,5105.0,0
Kepler-326 c,Kepler-326,2014.0,1.4,4.580358,0.051,5105.0,0
Kepler-326 d,Kepler-326,2014.0,1.21,6.766888,0.066,5105.0,0
Kepler-327 b,Kepler-327,2014.0,1.11,2.549575,0.029,3799.0,0
Kepler-327 c,Kepler-327,2014.0,1.03,5.212333,0.047,3799.0,0
Kepler-327 d,Kepler-327,2014.0,1.73,13.969457,0.09,3799.0,0
Kepler-329 b,Kepler-329,2014.0,1.4,7.416397,0.061,4257.0,0
Kepler-329 c,Kepler-329,2014.0,1.93,18.684737,0.113,4257.0,0
Kepler-33 b,Kepler-33,2011.0,1.74,5.66793,0.0677,5904.0,0
Kepler-33 c,Kepler-33,2011.0,3.2,13.17562,0.1189,5904.0,0
Kepler-33 d,Kepler-33,2011.0,5.35,21.77596,0.1662,5904.0,0
Kepler-33 e,Kepler-33,2011.0,4.02,31.7844,0.2138,5904.0,0
Kepler-33 f,Kepler-33,2011.0,4.46,41.02902,0.2535,5904.0,0
Kepler-330 b,Kepler-330,2014.0,1.35,8.25978,0.075,5117.0,0
Kepler-330 c,Kepler-330,2014.0,1.95,15.955387,0.116,5117.0,0
Kepler-331 b,Kepler-331,2014.0,1.82,8.457496,0.065,4347.0,0
Kepler-331 c,Kepler-331,2014.0,1.84,17.28111,0.105,4347.0,0
Kepler-331 d,Kepler-331,2014.0,1.64,32.134328,0.159,4347.0,0
Kepler-332 b,Kepler-332,2014.0,1.17,7.626324,0.07,4955.0,0
Kepler-332 c,Kepler-332,2014.0,1.09,15.995622,0.114,4955.0,0
Kepler-332 d,Kepler-332,2014.0,1.18,34.21154,0.189,4955.0,0
Kepler-333 b,Kepler-333,2014.0,1.32,12.551158,0.087,4259.0,0
Kepler-333 c,Kepler-333,2014.0,1.11,24.08821,0.135,4259.0,0
Kepler-334 b,Kepler-334,2014.0,1.12,5.470319,0.061,5828.0,0
Kepler-334 c,Kepler-334,2014.0,1.43,12.758005,0.107,5828.0,0
Kepler-334 d,Kepler-334,2014.0,1.41,25.09849,0.168,5828.0,0
Kepler-335 b,Kepler-335,2014.0,3.39,6.562331,0.075,5877.0,0
Kepler-335 c,Kepler-335,2014.0,3.07,67.844469,0.356,5877.0,0
Kepler-336 b,Kepler-336,2014.0,1.02,2.024823,0.033,5867.0,0
Kepler-336 c,Kepler-336,2014.0,2.1,9.600001,0.092,5867.0,0
Kepler-336 d,Kepler-336,2014.0,2.37,20.678772,0.154,5867.0,0
Kepler-337 b,Kepler-337,2014.0,1.54,3.292781,0.045,5684.0,0
Kepler-337 c,Kepler-337,2014.0,2.05,9.693201,0.093,5684.0,0
Kepler-338 b,Kepler-338,2014.0,2.44,13.726976,0.117,5923.0,0
Kepler-338 c,Kepler-338,2014.0,2.34,24.310856,0.172,5923.0,0
Kepler-338 d,Kepler-338,2014.0,3.0,44.431014,0.257,5923.0,0
Kepler-339 b,Kepler-339,2014.0,1.42,4.977656,0.055,5631.0,0
Kepler-339 c,Kepler-339,2014.0,1.15,6.988055,0.069,5631.0,0
Kepler-339 d,Kepler-339,2014.0,1.17,10.558345,0.091,5631.0,0
Kepler-34 b,Kepler-34,2011.0,8.564,288.822,1.0896,5913.0,0
Kepler-340 b,Kepler-340,2014.0,2.53,14.844387,0.134,6620.0,0
Kepler-340 c,Kepler-340,2014.0,3.37,22.824669,0.178,6620.0,0
Kepler-341 b,Kepler-341,2014.0,1.18,5.195528,0.06,6012.0,0
Kepler-341 c,Kepler-341,2014.0,1.7,8.01041,0.08,6012.0,0
Kepler-341 d,Kepler-341,2014.0,1.85,27.666313,0.182,6012.0,0
Kepler-341 e,Kepler-341,2014.0,1.99,42.473269,0.242,6012.0,0
Kepler-342 b,Kepler-342,2014.0,2.25,15.170318,0.128,6175.0,0
Kepler-342 c,Kepler-342,2014.0,1.96,26.234138,0.185,6175.0,0
Kepler-342 d,Kepler-342,2014.0,2.49,39.459357,0.242,6175.0,0
Kepler-343 b,Kepler-343,2014.0,2.41,8.96855,0.088,5807.0,0
Kepler-343 c,Kepler-343,2014.0,2.02,23.22182,0.167,5807.0,0
Kepler-344 b,Kepler-344,2014.0,2.61,21.963945,0.153,5774.0,0
Kepler-344 c,Kepler-344,2014.0,2.95,125.596809,0.488,5774.0,0
Kepler-345 b,Kepler-345,2014.0,0.74,7.415563,0.066,4504.0,0
Kepler-345 c,Kepler-345,2014.0,1.2,9.387427,0.077,4504.0,0
Kepler-346 b,Kepler-346,2014.0,2.66,6.511127,0.071,6033.0,0
Kepler-346 c,Kepler-346,2014.0,3.07,23.851549,0.168,6033.0,0
Kepler-347 b,Kepler-347,2014.0,1.97,12.79836,0.11,6088.0,0
Kepler-347 c,Kepler-347,2014.0,1.75,27.320871,0.183,6088.0,0
Kepler-347 d,Kepler-347,2023.0,3.04,85.517344,0.3802,5592.0,0
Kepler-348 b,Kepler-348,2014.0,1.52,7.05677,0.076,6177.0,0
Kepler-348 c,Kepler-348,2014.0,1.33,17.265427,0.138,6177.0,0
Kepler-349 b,Kepler-349,2014.0,1.9,5.929778,0.065,5956.0,0
Kepler-349 c,Kepler-349,2014.0,1.96,12.247629,0.105,5956.0,0
Kepler-35 b,Kepler-35,2011.0,8.16,131.458,0.60347,5606.0,0
Kepler-350 b,Kepler-350,2014.0,1.85,11.189562,0.104,6186.0,0
Kepler-351 b,Kepler-351,2014.0,3.06,37.054919,0.214,5643.0,0
Kepler-351 c,Kepler-351,2014.0,3.19,57.24809,0.287,5643.0,0
Kepler-352 b,Kepler-352,2014.0,0.86,10.05537,0.085,5212.0,0
Kepler-352 c,Kepler-352,2014.0,1.24,16.332995,0.118,5212.0,0
Kepler-353 b,Kepler-353,2014.0,0.89,5.795278,0.051,3903.0,0
Kepler-353 c,Kepler-353,2014.0,1.38,8.410894,0.065,3903.0,0
Kepler-354 b,Kepler-354,2014.0,1.84,5.47666,0.054,4648.0,0
Kepler-354 c,Kepler-354,2014.0,1.31,16.934402,0.115,4648.0,0
Kepler-354 d,Kepler-354,2014.0,1.24,24.209842,0.146,4648.0,0
Kepler-355 b,Kepler-355,2014.0,1.46,11.03189,0.102,6184.0,0
Kepler-355 c,Kepler-355,2014.0,2.71,25.762294,0.179,6184.0,0
Kepler-356 b,Kepler-356,2014.0,1.57,4.612696,0.057,6133.0,0
Kepler-356 c,Kepler-356,2014.0,1.81,13.121632,0.115,6133.0,0
Kepler-357 b,Kepler-357,2014.0,1.84,6.475434,0.063,5036.0,0
Kepler-357 c,Kepler-357,2014.0,2.67,16.85837,0.12,5036.0,0
Kepler-357 d,Kepler-357,2014.0,3.43,49.499875,0.246,5036.0,0
Kepler-358 b,Kepler-358,2014.0,2.72,34.060467,0.21,5908.0,0
Kepler-358 c,Kepler-358,2014.0,2.85,83.488369,0.381,5908.0,0
Kepler-359 b,Kepler-359,2014.0,3.53,25.563222,0.178,6248.0,0
Kepler-359 c,Kepler-359,2014.0,4.3,57.68802,0.307,6248.0,0
Kepler-359 d,Kepler-359,2014.0,4.01,77.095691,0.372,6248.0,0
Kepler-360 b,Kepler-360,2014.0,1.65,3.289672,0.044,6053.0,0
Kepler-360 c,Kepler-360,2014.0,2.1,7.186434,0.075,6053.0,0
Kepler-361 b,Kepler-361,2014.0,1.45,8.486616,0.086,6169.0,0
Kepler-361 c,Kepler-361,2014.0,2.52,55.188023,0.3,6169.0,0
Kepler-362 b,Kepler-362,2014.0,0.88,10.327186,0.087,5788.0,0
Kepler-362 c,Kepler-362,2014.0,1.45,37.866281,0.207,5788.0,0
Kepler-363 b,Kepler-363,2014.0,1.16,3.614568,0.048,5593.0,0
Kepler-363 c,Kepler-363,2014.0,1.69,7.542427,0.079,5593.0,0
Kepler-363 d,Kepler-363,2014.0,2.05,11.932125,0.107,5593.0,0
Kepler-364 b,Kepler-364,2014.0,1.55,25.745718,0.178,6108.0,0
Kepler-364 c,Kepler-364,2014.0,2.15,59.980627,0.312,6108.0,0
Kepler-365 b,Kepler-365,2014.0,2.04,10.664903,0.098,6012.0,0
Kepler-365 c,Kepler-365,2014.0,1.64,17.784129,0.137,6012.0,0
Kepler-366 b,Kepler-366,2014.0,1.46,3.281959,0.045,6209.0,0
Kepler-366 c,Kepler-366,2014.0,1.79,12.51616,0.11,6209.0,0
Kepler-367 b,Kepler-367,2014.0,1.3,37.815724,0.201,4710.0,0
Kepler-367 c,Kepler-367,2014.0,1.2,53.578637,0.253,4710.0,0
Kepler-368 b,Kepler-368,2014.0,3.26,26.84768,0.186,5502.0,0
Kepler-368 c,Kepler-368,2014.0,3.88,72.379334,0.36,5502.0,0
Kepler-369 b,Kepler-369,2014.0,1.13,2.732756,0.03,3591.0,0
Kepler-369 c,Kepler-369,2014.0,1.41,14.871572,0.094,3591.0,0
Kepler-37 b,Kepler-37,2013.0,0.3098,13.36702,0.1019,5357.0,0
Kepler-37 c,Kepler-37,2013.0,0.755,21.301848,0.139,5357.0,0
Kepler-37 d,Kepler-37,2013.0,2.03,39.7922622,0.2109,5357.0,0
Kepler-370 b,Kepler-370,2014.0,1.59,4.57953,0.054,5852.0,0
Kepler-370 c,Kepler-370,2014.0,1.91,19.02293,0.14,5852.0,0
Kepler-371 b,Kepler-371,2014.0,1.89,34.763278,0.2,5666.0,0
Kepler-371 c,Kepler-371,2014.0,1.78,67.968015,0.313,5666.0,0
Kepler-372 b,Kepler-372,2014.0,1.36,6.849692,0.075,6509.0,0
Kepler-372 c,Kepler-372,2014.0,2.09,20.053763,0.154,6509.0,0
Kepler-372 d,Kepler-372,2014.0,1.69,30.092568,0.201,6509.0,0
Kepler-373 b,Kepler-373,2014.0,1.36,5.535309,0.06,5787.0,0
Kepler-373 c,Kepler-373,2014.0,1.24,16.725948,0.126,5787.0,0
Kepler-374 b,Kepler-374,2014.0,1.03,1.897806,0.029,5977.0,0
Kepler-374 c,Kepler-374,2014.0,1.1,3.282807,0.042,5977.0,0
Kepler-374 d,Kepler-374,2014.0,1.31,5.028219,0.056,5977.0,0
Kepler-375 b,Kepler-375,2014.0,1.45,12.125934,0.101,5826.0,0
Kepler-375 c,Kepler-375,2014.0,2.65,19.986326,0.141,5826.0,0
Kepler-376 b,Kepler-376,2014.0,1.07,4.920199,0.057,5900.0,0
Kepler-376 c,Kepler-376,2014.0,1.79,14.172327,0.115,5900.0,0
Kepler-377 b,Kepler-377,2014.0,1.39,12.509529,0.109,5949.0,0
Kepler-377 c,Kepler-377,2014.0,2.06,27.014976,0.182,5949.0,0
Kepler-378 b,Kepler-378,2014.0,0.75,16.092361,0.112,4661.0,0
Kepler-378 c,Kepler-378,2014.0,0.7,28.906009,0.166,4661.0,0
Kepler-379 b,Kepler-379,2014.0,1.66,20.09838,0.152,6054.0,0
Kepler-379 c,Kepler-379,2014.0,2.29,62.784697,0.326,6054.0,0
Kepler-38 b,Kepler-38,2012.0,4.3,105.599,0.4632,5623.0,0
Kepler-380 b,Kepler-380,2014.0,1.19,3.930821,0.05,6045.0,0
Kepler-380 c,Kepler-380,2014.0,1.27,7.630004,0.078,6045.0,0
Kepler-381 b,Kepler-381,2014.0,0.99,5.629021,0.066,6152.0,0
Kepler-381 c,Kepler-381,2014.0,1.12,13.391635,0.117,6152.0,0
Kepler-382 b,Kepler-382,2014.0,1.32,5.262155,0.055,5600.0,0
Kepler-382 c,Kepler-382,2014.0,1.59,12.162701,0.097,5600.0,0
